"status","original_url","chosen_candidate","final_url","local_path","bytes","content_type"
"failed-cached","http://static.flickr.com/2309/2039505933_4f11ab041c.jpg","","","","",""
"failed-cached","http://static.flickr.com/2153/2040304106_8622e7c756.jpg","","","","",""
"failed-cached","http://static.flickr.com/2259/2040302402_fdc6781686.jpg","","","","",""
"failed-cached","http://static.flickr.com/2195/2039507897_11a5f416cb.jpg","","","","",""
"failed-cached","http://static.flickr.com/2377/2039508233_9c2cbf5695.jpg","","","","",""
"failed-cached","http://static.flickr.com/2320/2040303024_a69131c937.jpg","","","","",""
"failed-cached","http://static.flickr.com/2300/2040301946_7f8d0495eb.jpg","","","","",""
"failed-cached","http://farm3.static.flickr.com/2187/2326232424_fb52973924.jpg","","","","",""
"failed-cached","http://farm4.static.flickr.com/3150/2325196753_a7d7cb5249.jpg","","","","",""
"failed-cached","http://farm3.static.flickr.com/2040/2382560385_4e71c96bee.jpg","","","","",""
"failed-cached","http://static.flickr.com/2278/2062901847_07e1f8f14b.jpg","","","","",""
"failed-cached","http://static.flickr.com/2226/2063695408_6aaf20b0b9.jpg","","","","",""
"failed-cached","http://static.flickr.com/2390/2063695548_68a1e15ffd.jpg","","","","",""
"failed-cached","http://static.flickr.com/2089/2062902315_68b63a2374.jpg","","","","",""
"failed-cached","http://static.flickr.com/2324/2062902431_595b2a3c2c.jpg","","","","",""
"failed-cached","http://static.flickr.com/2247/2062902495_2a2ac42de0.jpg","","","","",""
"failed-cached","http://static.flickr.com/2346/2062902583_e98b28e4b1.jpg","","","","",""
"failed-cached","http://static.flickr.com/2305/2062902811_745e46e8ae.jpg","","","","",""
"failed-cached","http://static.flickr.com/2093/2062903677_c50c4ebbfa.jpg","","","","",""
"failed-cached","http://static.flickr.com/2081/2063696352_f2e0683cd3.jpg","","","","",""
"failed-cached","http://static.flickr.com/2110/2063696560_37f5338697.jpg","","","","",""
"failed-cached","http://static.flickr.com/2190/2062904483_f82e729052.jpg","","","","",""
"failed-cached","http://static.flickr.com/2321/2063697000_2447f5489b.jpg","","","","",""
"failed-cached","http://static.flickr.com/2179/2062903203_a71fb05028.jpg","","","","",""
"failed-cached","http://static.flickr.com/2110/2063696774_dd5878d1f6.jpg","","","","",""
"failed-cached","http://static.flickr.com/2197/2063696878_5fff772a81.jpg","","","","",""
"failed-cached","http://static.flickr.com/2015/2063698110_0295cb32cf.jpg","","","","",""
"failed-cached","http://static.flickr.com/2269/2063699560_02a08042b5.jpg","","","","",""
"failed-cached","http://static.flickr.com/2295/2063698446_71b259bf27.jpg","","","","",""
"failed-cached","http://static.flickr.com/2161/2062904719_ec74c68d9a.jpg","","","","",""
"failed-cached","http://static.flickr.com/2373/2062904795_c7f6d1ca6b.jpg","","","","",""
"failed-cached","http://static.flickr.com/2351/1838621715_8fdd4c4f4a.jpg","","","","",""
"failed-cached","http://static.flickr.com/2190/2062905505_a8d84aa55f.jpg","","","","",""
"failed-cached","http://static.flickr.com/2141/2093201156_c776ab9cab.jpg","","","","",""
"failed-cached","http://static.flickr.com/2021/2093200808_9950bc48d8.jpg","","","","",""
"failed-cached","http://static.flickr.com/2225/2093200738_40ecda9d3c.jpg","","","","",""
"failed-cached","http://static.flickr.com/2146/2093200884_66827afa83.jpg","","","","",""
"failed-cached","http://static.flickr.com/2379/2093200956_d861c89978.jpg","","","","",""
"failed-cached","http://static.flickr.com/2380/2092422141_2bc7a5db87.jpg","","","","",""
"failed-cached","http://static.flickr.com/2418/2093201056_352118b4ca.jpg","","","","",""
"failed-cached","http://static.flickr.com/2095/2093201120_5d61e7684f.jpg","","","","",""
"failed-cached","http://static.flickr.com/2362/2093201200_0877d85bfd.jpg","","","","",""
"failed-cached","http://static.flickr.com/2340/1839437908_125041eb10_m.jpg","","","","",""
"failed-cached","http://static.flickr.com/2415/1839438904_81abaa7295_m.jpg","","","","",""
"failed-cached","http://static.flickr.com/2272/1838613479_685cec49f4.jpg","","","","",""
"failed-cached","http://static.flickr.com/2169/1839440978_04b3b5a5be.jpg","","","","",""
"failed-cached","http://static.flickr.com/2377/1838615535_6734afabae.jpg","","","","",""
"failed-cached","http://static.flickr.com/2294/1839442814_4432a1ff29.jpg","","","","",""
"failed-cached","http://static.flickr.com/2111/1838621181_e5c7853bda.jpg","","","","",""
"failed-cached","http://static.flickr.com/2316/1838617727_7156a68f59.jpg","","","","",""
"failed-cached","http://static.flickr.com/2096/1838619279_bef708935d.jpg","","","","",""
"failed-cached","http://static.flickr.com/2307/1839446230_434bd4636d.jpg","","","","",""
